place,lng,lat
New York City Supreme Court,-74.00209999999998,40.71443000000005
Artists & Fleas at Chelsea Market,-74.00769993383796,40.74283005704305
New York University,-73.99701999999996,40.72966000000008
Grand Masonic Lodge of New York,-73.99188202526042,40.7430339887473
Chelsea Flea Market,-73.98799994680472,40.74950004031393
H&M,-73.9881986,40.7497527
Longacre Theatre,-73.98596871886012,40.760317799999996
Hearst Tower,-73.98332502412765,40.766439992360034
ABC Carpet & Home,-73.9898419,40.73824
Holographic Studios,-73.98008298779841,40.739919985989076
Mount Vernon Hotel Museum & Garden,-73.9597128,40.7605217
Arthur Ashe Stadium,-73.84684999999996,40.749810000000025
St. Patrick’s Day Parade New York City,-74.00713999999994,40.71455000000003
New York International Auto Show,-74.00351999999998,40.756590000000074
The Art of the Brick by Nathan Sawaya,-73.98726999999997,40.75774000000007
Carl Schurz Park,-72.66287989572756,40.92189005619002
Bernard B. Jacobs Theatre,-73.98774051505198,40.7586082
Gapstow Bridge,-73.98891499999996,40.766755000000046
Barrymore Theatre,-73.98613511549917,40.76012215
New York Comic-Con,-74.00351999999998,40.756590000000074
Ghostbusters Building,-73.97895302343133,40.772379995683394
Little Red Lighthouse,-73.93819670315662,40.84788073441765
Winter Garden,-74.0146939614856,40.71391001842633
Bowling Green,-74.01318991277981,40.70404003407063
Lyceum Theatre,-73.98450063805058,40.757869400000004
South Street Seaport Museum,-74.0036758,40.706628
The Ramble,-73.97620439999997,40.78605090000008
Children's Museum of the Arts,-74.0081354,40.7275353
Broadhurst Theatre,-73.98761706594371,40.758268599999994
Morningside Park,-73.96105992326562,40.80178002398543
Shakespeare Garden,-73.96646993885118,40.77821002843706
Paley Park,-73.9752390021343,40.76026998961356
Grace Church,-73.99144993815173,40.731730028396356
Alleva Dairy,-73.99713999999994,40.71938000000006
Canaan Baptist Church of Christ,-73.9514547,40.8025977
American Airlines Theater,-74.01726988796949,40.62809005874587
Astor Place Theatre,-73.992186,40.7293012
Park Avenue Armory,-73.96550355223997,40.76723335
MetLife Building,-73.97658004429898,40.75361345
Trinity Church Cemetery & Mausoleum,-73.94826000274544,40.83395999429467
Sotheby's,-73.95354506025748,40.76628425
34th Street,-74.00718603935427,40.65768999543866
Rockefeller Park,-74.01710874860224,40.70790232524283
Holcombe Rucker Park,-73.93671076284542,40.82886612403471
Central Synagogue,-73.97032402175029,40.759560000505104
Morris-Jumel Mansion,-73.9386957,40.8344403
Gracie Mansion,-73.94381994099534,40.77623005526897
The Pershing Square Signature Center,-73.99496999999997,40.75939000000005
Hans Christian Andersen Statue,-73.96028499999994,40.77018000000004
Paley Center for Media,-73.97759186591774,40.76058114999999
Golden Theatre,-73.98798460640043,40.7587046
Agora Gallery,-74.00467398297259,40.74946001672626
T.J. Maxx,-73.96131999999994,40.75936000000007
James A. Farley Post Office,-73.99582641011764,40.75151835
Cort Theatre,-73.98308983674377,40.75910345
Fred F. French Building,-73.97888935789416,40.7553605
Lincoln Tunnel,-74.02302022633901,40.76453565759894
The Sphere,-74.01432684781629,40.70286383762584
Church of Saint Joseph of the Holy Family,-73.95421199219032,40.8118220049943
New York Public Library for the Performing Arts,-73.98489797207755,40.77380999027463
Cleopatra's Needle,-73.98143993410349,40.78618004489047
Church of St. Francis of Assisi,-73.99055822641532,40.7488345
Seventh Avenue,-73.44485991329181,43.22884005179108
Skyscraper Museum,-74.01778999999993,40.705730000000074
Stonewall National Monument,-74.00165887047208,40.73376985
Museum of the American Gangster,-73.9858672,40.7276111
City Hall Park,-74.00636999999995,40.71266000000003
Kinokuniya Book Stores of America,-73.9849099581991,40.75404998881464
Channel Gardens,-73.97813603932883,40.757570010962695
Delacorte Theater,-73.97775999999999,40.773780000000045
New York City Criminal Court,-74.00116999999995,40.71607000000006
Abyssinian Baptist Church,-73.94130960267361,40.81673456562882
American Folk Art Museum,-73.98157999999995,40.773270000000025
